,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
32,"                                32
                            ",8,English - Sanskrit (Surabhi)-8,71, , , 
33,"                                33
                            ",8,English - Science-8,65, , , 
34,"                                34
                            ",8,English - Social Science-8,65, , , 
35,"                                35
                            ",1,Hindi - BHASHA BHARTI-1,21318,8519,39,61
36,"                                36
                            ",1,Hindi - GANIT -1,21323,21642,101,-1
37,"                                37
                            ",1,Hindi - Language-English READER ( GENERAL SERIES) -1,21318,14437,67,33
38,"                                38
                            ",2,Hindi - BHASHA BHARTI-2,29963,24656,82,18
39,"                                39
                            ",2,Hindi - GANIT -2,29947,35536,118,-18
40,"                                40
                            ",2,Hindi - Language-English READER ( GENERAL SERIES)-2,29945,25476,85,15
41,"                                41
                            ",3,Hindi - BHASHA BHARTI (SPECIAL)-3,39525,40513,102,-2
42,"                                42
                            ",3,Hindi - ENVIRONMENTAL STUDY-3,39525,33526,84,16
43,"                                43
                            ",3,Hindi - GANIT -3,39576,32806,82,18
44,"                                44
                            ",3,Hindi - Language-English READER ( GENERAL SERIES) -3,39525,40486,102,-2
45,"                                45
                            ",4,Hindi - BHASHA BHARTI ,44713,45049,100,0
46,"                                46
                            ",4,Hindi - ENVIRONMENTAL STUDY-4,44537,48578,109,-9
47,"                                47
                            ",4,Hindi - GANIT -4,44554,47018,105,-5
48,"                                48
                            ",4,Hindi - Language-English READER ( GENERAL SERIES) -4,44577,39049,87,13
49,"                                49
                            ",5,Hindi - BHASHA BHARTI (SPECIAL),43467,25897,59,41
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,43469,38837,89,11
51,"                                51
                            ",5,Hindi - GANIT -5,43489,45562,104,-4
52,"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,43513,36317,83,17
53,"                                53
                            ",6,Hindi - BHASHA BHARTI-6,36558,38325,104,-4
54,"                                54
                            ",6,Hindi - GANIT -6,36558,36493,99,1
55,"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,36558,37645,102,-2
56,"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,36558,37845,103,-3
57,"                                57
                            ",6,Hindi - SCIENCE-6 ,36558,32747,89,11
58,"                                58
                            ",6,Hindi - SOCIAL SCIENCE-6,36558,34263,93,7
59,"                                59
                            ",6,Hindi - SURBHI-6,36558,38227,104,-4
60,"                                60
                            ",7,Hindi - BHASHA BHARTI -7,34504,35642,103,-3
61,"                                61
                            ",7,Hindi - GANIT -7,34504,35494,102,-2
62,"                                62
                            ",7,Hindi - Language-English READER ( GENERAL SERIES) -7,34504,35214,102,-2
63,"                                63
                            ",7,Hindi - SAHAYAK WACHAN-7,34504,34894,101,-1
64,"                                64
                            ",7,Hindi - SCIENCE-7 ,34526,33151,96,4
65,"                                65
                            ",7,Hindi - SOCIAL SCIENCE-7,34504,35214,102,-2
66,"                                66
                            ",7,Hindi - SURBHI-7,34547,30094,87,13
67,"                                67
                            ",8,Hindi - BHASHA BHARTI (SPECIAL),32954,34016,103,-3
68,"                                68
                            ",8,Hindi - GANIT -8,33849,32342,95,5
69,"                                69
                            ",8,Hindi - Language-English READER ( GENERAL SERIES) -8,32936,29767,90,10
70,"                                70
                            ",8,Hindi - SAHAYAK WACHAN-8,32936,33034,100,0
71,"                                71
                            ",8,Hindi - SCIENCE-8,32936,31672,96,4
72,"                                72
                            ",8,Hindi - SOCIAL SCIENCE-8,32936,29032,88,12
73,"                                73
                            ",8,Hindi - SURBHI-8,32936,34199,103,-3
74,"                                74
                            ",1,Marathi - Language-English Reader (General Series) -1,71, , , 
75,"                                75
                            ",1,Marathi - Language-Marathi-1,71, , , 
76,"                                76
                            ",1,Marathi - Maths-1,71, , , 
77,"                                77
                            ",2,Marathi - Language-English Reader (General Series) -2,37, , , 
78,"                                78
                            ",2,Marathi - Language-Marathi-2,71, , , 
79,"                                79
                            ",2,Marathi - Maths-2,51, , , 
80,"                                80
                            ",3,Marathi - EVS-3,37, , , 
81,"                                81
                            ",3,Marathi - General Hindi-3,37, , , 
82,"                                82
                            ",3,Marathi - Language-English Reader (General Series) -3,37, , , 
83,"                                83
                            ",3,Marathi - Language-Marathi-3,37, , , 
84,"                                84
                            ",3,Marathi - Maths-3,37, , , 
85,"                                85
                            ",4,Marathi - EVS-4,140, , , 
86,"                                86
                            ",4,Marathi - Language-English Reader (General Series) -4,65, , , 
87,"                                87
                            ",4,Marathi - Language-Marathi-4,115, , , 
88,"                                88
                            ",4,Marathi - Maths-4,123, , , 
89,"                                89
                            ",5,Marathi - EVS-5, , , , 
90,"                                90
                            ",5,Marathi - Hindi General -5,37, , , 
91,"                                91
                            ",5,Marathi - Language-English Reader (General Series) -3, , , , 
92,"                                92
                            ",5,Marathi - Language-Marathi-5,71, , , 
93,"                                93
                            ",5,Marathi - Maths-5, , , , 
94,"                                94
                            ",6,Marathi - Language-English Reader (General Series) -3, , , , 
95,"                                95
                            ",6,Marathi - Language-Marathi Bhasha Bharti-6, , , , 
96,"                                96
                            ",6,Marathi - Maths-6, , , , 
97,"                                97
                            ",6,Marathi - Sahayak Vachan-6, , , , 
98,"                                98
                            ",6,Marathi - SCIENCE-6 , , , , 
99,"                                99
                            ",6,Marathi - Social Science-6, , , , 
100,"                                100
                            ",7,Marathi - Language-English Reader (General Series) -3, , , , 
101,"                                101
                            ",7,Marathi - Language-Marathi-7, , , , 
102,"                                102
                            ",7,Marathi - Marathi Sahayak Vachan-7, , , , 
103,"                                103
                            ",7,Marathi - Maths-7, , , , 
104,"                                104
                            ",7,Marathi - Science-7, , , , 
105,"                                105
                            ",7,Marathi - Social Science-7, , , , 
106,"                                106
                            ",8,Marathi - General Hindi-8, , , , 
107,"                                107
                            ",8,Marathi - Language-English Reader (General Series) -8, , , , 
108,"                                108
                            ",8,Marathi - Language-Marathi Bhasha Bharti-8, , , , 
109,"                                109
                            ",8,Marathi - Marathi Sahayak Vachan-7, , , , 
110,"                                110
                            ",8,Marathi - Maths-8, , , , 
111,"                                111
                            ",8,Marathi - Science-8, , , , 
112,"                                112
                            ",8,Marathi - Social Science-8, , , , 
113,"                                113
                            ",1,Urdu - Language-English Reader (General Series) -1, , , , 
114,"                                114
                            ",1,Urdu - Maths-1, , , , 
115,"                                115
                            ",1,Urdu - Urdu Bharti-1, , , , 
116,"                                116
                            ",2,Urdu - Language-English Reader (General Series) -2,150, , , 
117,"                                117
                            ",2,Urdu - Maths-2, , , , 
118,"                                118
                            ",2,Urdu - Urdu Bharti-2, , , , 
119,"                                119
                            ",3,Urdu - General Hindi-3, , , , 
120,"                                120
                            ",3,Urdu - Language-English Reader (General Series) -3, , , , 
121,"                                121
                            ",3,Urdu - Maths-3,140, , , 
122,"                                122
                            ",3,Urdu - Urdu Bharti-3, , , , 
123,"                                123
                            ",3,Urdu - Urdu Environment Science-3, , , , 
124,"                                124
                            ",4,Urdu - Environment Science-4,145, , , 
125,"                                125
                            ",4,Urdu - Language-English Reader (General Series) -4, , , , 
126,"                                126
                            ",4,Urdu - Maths-4, , , , 
127,"                                127
                            ",4,Urdu - Urdu Bharti-4,295, , , 
128,"                                128
                            ",5,Urdu - Environment Science-5, , , , 
129,"                                129
                            ",5,Urdu - General Hindi-5,290, , , 
130,"                                130
                            ",5,Urdu - Language-English Reader (General Series) -5, , , , 
131,"                                131
                            ",5,Urdu - Maths-5,140, , , 
132,"                                132
                            ",5,Urdu - Urdu Bharti-5, , , , 
133,"                                133
                            ",6,Urdu - Language-English Reader (General Series) -6,295, , , 
134,"                                134
                            ",6,Urdu - Maths-6, , , , 
135,"                                135
                            ",6,Urdu - Sahayak Wachan-6, , , , 
136,"                                136
                            ",6,Urdu - SCIENCE-6 , , , , 
137,"                                137
                            ",6,Urdu - Social Science-6,145, , , 
138,"                                138
                            ",6,Urdu - Urdu Bharti-6, , , , 
139,"                                139
                            ",7,Urdu - Language-English Reader (General Series) -7,250, , , 
140,"                                140
                            ",7,Urdu - Maths-7, , , , 
141,"                                141
                            ",7,Urdu - Sahayak Wachan-7, , , , 
142,"                                142
                            ",7,Urdu - Science-7, , , , 
143,"                                143
                            ",7,Urdu - Social Science-7,115, , , 
144,"                                144
                            ",7,Urdu - Urdu Bharti-6, , , , 
145,"                                145
                            ",8,Urdu - Language-English Reader (General Series) -8,190, , , 
146,"                                146
                            ",8,Urdu - Maths-8, , , , 
147,"                                147
                            ",8,Urdu - Sahayak Wachan-8,80, , , 
148,"                                148
                            ",8,Urdu - Science-8,115, , , 
149,"                                149
                            ",8,Urdu - Social Science-8, , , , 
150,"                                150
                            ",8,Urdu - Urdu Bharti-8, , , , 
151,"                                151
                            ",8,Urdu - Urdu Bharti-8, , , , 
