,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,47254,40868,86,14
51,"                                51
                            ",5,Hindi - GANIT -5,47374,41078,86,14
52,"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,47374,41203,86,14
53,"                                53
                            ",6,Hindi - BHASHA BHARTI-6,38900,28851,74,26
54,"                                54
                            ",6,Hindi - GANIT -6,38060,32045,84,16
55,"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,38900,26584,68,32
56,"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,38900,32025,82,18
57,"                                57
                            ",6,Hindi - SCIENCE-6 ,38900,26821,68,32
58,"                                58
                            ",6,Hindi - SOCIAL SCIENCE-6,38900,28791,74,26
59,"                                59
                            ",6,Hindi - SURBHI-6,38900,26130,67,33
60,"                                60
                            ",7,Hindi - BHASHA BHARTI -7,32467,29357,90,10
61,"                                61
                            ",7,Hindi - GANIT -7,32467,29357,90,10
62,"                                62
                            ",7,Hindi - Language-English READER ( GENERAL SERIES) -7,32467,29626,91,9
63,"                                63
                            ",7,Hindi - SAHAYAK WACHAN-7,32467,24061,74,26
64,"                                64
                            ",7,Hindi - SCIENCE-7 ,32467,29357,90,10
65,"                                65
                            ",7,Hindi - SOCIAL SCIENCE-7,32467,30812,94,6
66,"                                66
                            ",7,Hindi - SURBHI-7,32467,26773,82,18
67,"                                67
                            ",8,Hindi - BHASHA BHARTI (SPECIAL),30346,20229,66,34
68,"                                68
                            ",8,Hindi - GANIT -8,30346,28829,95,5
69,"                                69
                            ",8,Hindi - Language-English READER ( GENERAL SERIES) -8,30346,28859,95,5
70,"                                70
                            ",8,Hindi - SAHAYAK WACHAN-8,30346,28829,95,5
71,"                                71
                            ",8,Hindi - SCIENCE-8,30346,28829,95,5
72,"                                72
                            ",8,Hindi - SOCIAL SCIENCE-8,30346,28769,94,6
73,"                                73
                            ",8,Hindi - SURBHI-8,30346,28769,94,6
74,"                                74
                            ",1,Marathi - Language-English Reader (General Series) -1,25, , , 
75,"                                75
                            ",1,Marathi - Language-Marathi-1,25, , , 
76,"                                76
                            ",1,Marathi - Maths-1, , , , 
77,"                                77
                            ",2,Marathi - Language-English Reader (General Series) -2,25, , , 
78,"                                78
                            ",2,Marathi - Language-Marathi-2, , , , 
79,"                                79
                            ",2,Marathi - Maths-2,25, , , 
80,"                                80
                            ",3,Marathi - EVS-3, , , , 
81,"                                81
                            ",3,Marathi - General Hindi-3, , , , 
82,"                                82
                            ",3,Marathi - Language-English Reader (General Series) -3,25, , , 
83,"                                83
                            ",3,Marathi - Language-Marathi-3,25, , , 
84,"                                84
                            ",3,Marathi - Maths-3,25, , , 
85,"                                85
                            ",4,Marathi - EVS-4, , , , 
86,"                                86
                            ",4,Marathi - Language-English Reader (General Series) -4, , , , 
87,"                                87
                            ",4,Marathi - Language-Marathi-4, , , , 
88,"                                88
                            ",4,Marathi - Maths-4, , , , 
89,"                                89
                            ",5,Marathi - EVS-5,45, , , 
90,"                                90
                            ",5,Marathi - Hindi General -5, , , , 
91,"                                91
                            ",5,Marathi - Language-English Reader (General Series) -3,45, , , 
92,"                                92
                            ",5,Marathi - Language-Marathi-5, , , , 
93,"                                93
                            ",5,Marathi - Maths-5,45, , , 
94,"                                94
                            ",6,Marathi - Language-English Reader (General Series) -3,25, , , 
95,"                                95
                            ",6,Marathi - Language-Marathi Bhasha Bharti-6,45, , , 
96,"                                96
                            ",6,Marathi - Maths-6,25, , , 
97,"                                97
                            ",6,Marathi - Sahayak Vachan-6,15, , , 
98,"                                98
                            ",6,Marathi - SCIENCE-6 ,25, , , 
99,"                                99
                            ",6,Marathi - Social Science-6,25, , , 
100,"                                100
                            ",7,Marathi - Language-English Reader (General Series) -3,15, , , 
101,"                                101
                            ",7,Marathi - Language-Marathi-7,15, , , 
102,"                                102
                            ",7,Marathi - Marathi Sahayak Vachan-7,15, , , 
103,"                                103
                            ",7,Marathi - Maths-7,15, , , 
104,"                                104
                            ",7,Marathi - Science-7,15, , , 
105,"                                105
                            ",7,Marathi - Social Science-7,15, , , 
106,"                                106
                            ",8,Marathi - General Hindi-8, , , , 
107,"                                107
                            ",8,Marathi - Language-English Reader (General Series) -8, , , , 
108,"                                108
                            ",8,Marathi - Language-Marathi Bhasha Bharti-8,15, , , 
109,"                                109
                            ",8,Marathi - Marathi Sahayak Vachan-7, , , , 
110,"                                110
                            ",8,Marathi - Maths-8, , , , 
111,"                                111
                            ",8,Marathi - Science-8, , , , 
112,"                                112
                            ",8,Marathi - Social Science-8, , , , 
113,"                                113
                            ",1,Urdu - Language-English Reader (General Series) -1, , , , 
114,"                                114
                            ",1,Urdu - Maths-1, , , , 
115,"                                115
                            ",1,Urdu - Urdu Bharti-1, , , , 
116,"                                116
                            ",2,Urdu - Language-English Reader (General Series) -2,174,25,14,86
117,"                                117
                            ",2,Urdu - Maths-2, , , , 
118,"                                118
                            ",2,Urdu - Urdu Bharti-2, , , , 
119,"                                119
                            ",3,Urdu - General Hindi-3,213,148,69,31
120,"                                120
                            ",3,Urdu - Language-English Reader (General Series) -3,213,25,11,89
121,"                                121
                            ",3,Urdu - Maths-3,213,25,11,89
122,"                                122
                            ",3,Urdu - Urdu Bharti-3,174,25,14,86
123,"                                123
                            ",3,Urdu - Urdu Environment Science-3,174,25,14,86
124,"                                124
                            ",4,Urdu - Environment Science-4,175,25,14,86
125,"                                125
                            ",4,Urdu - Language-English Reader (General Series) -4,175,25,14,86
126,"                                126
                            ",4,Urdu - Maths-4,175,25,14,86
127,"                                127
                            ",4,Urdu - Urdu Bharti-4,175, , , 
128,"                                128
                            ",5,Urdu - Environment Science-5,175,25,14,86
129,"                                129
                            ",5,Urdu - General Hindi-5,187, , , 
130,"                                130
                            ",5,Urdu - Language-English Reader (General Series) -5,187,25,13,87
131,"                                131
                            ",5,Urdu - Maths-5,187,25,13,87
132,"                                132
                            ",5,Urdu - Urdu Bharti-5,175,110,62,38
133,"                                133
                            ",6,Urdu - Language-English Reader (General Series) -6,190, , , 
134,"                                134
                            ",6,Urdu - Maths-6,187,25,13,87
135,"                                135
                            ",6,Urdu - Sahayak Wachan-6,190,25,13,87
136,"                                136
                            ",6,Urdu - SCIENCE-6 ,187,132,70,30
137,"                                137
                            ",6,Urdu - Social Science-6,190,25,13,87
138,"                                138
                            ",6,Urdu - Urdu Bharti-6,187,25,13,87
139,"                                139
                            ",7,Urdu - Language-English Reader (General Series) -7,90, , , 
140,"                                140
                            ",7,Urdu - Maths-7,190,25,13,87
141,"                                141
                            ",7,Urdu - Sahayak Wachan-7,90, , , 
142,"                                142
                            ",7,Urdu - Science-7,190,135,71,29
143,"                                143
                            ",7,Urdu - Social Science-7,90, , , 
144,"                                144
                            ",7,Urdu - Urdu Bharti-6,190,25,13,87
145,"                                145
                            ",8,Urdu - Language-English Reader (General Series) -8,80, , , 
146,"                                146
                            ",8,Urdu - Maths-8,90, , , 
147,"                                147
                            ",8,Urdu - Sahayak Wachan-8,80, , , 
148,"                                148
                            ",8,Urdu - Science-8,90, , , 
149,"                                149
                            ",8,Urdu - Social Science-8,90, , , 
150,"                                150
                            ",8,Urdu - Urdu Bharti-8,90, , , 
151,"                                151
                            ",8,Urdu - Urdu Bharti-8,90, , , 
