,S.No,Class,Subject,Total projected demands,Books actually received by blocks,% of recieved books,%Pendency
50,"                                50
                            ",5,Hindi - ENVIRONMENTAL STUDY-5,36243,37941,104,-4
51,"                                51
                            ",5,Hindi - GANIT -5,36208,38340,105,-5
52,"                                52
                            ",5,Hindi - Language-English READER ( GENERAL SERIES) -5,36390,38815,106,-6
53,"                                53
                            ",6,Hindi - BHASHA BHARTI-6,38716,39560,102,-2
54,"                                54
                            ",6,Hindi - GANIT -6,38796,40102,103,-3
55,"                                55
                            ",6,Hindi - Language-English READER ( GENERAL SERIES) -6,38516,40122,104,-4
56,"                                56
                            ",6,Hindi - SAHAYAK WACHAN-6,38516,39196,101,-1
57,"                                57
                            ",6,Hindi - SCIENCE-6 ,38716,39101,100,0
58,"                                58
                            ",6,Hindi - SOCIAL SCIENCE-6,38716,39596,102,-2
59,"                                59
                            ",6,Hindi - SURBHI-6,38716,39226,101,-1
60,"                                60
                            ",7,Hindi - BHASHA BHARTI -7,35544,34227,96,4
61,"                                61
                            ",7,Hindi - GANIT -7,35644,34250,96,4
62,"                                62
                            ",7,Hindi - Language-English READER ( GENERAL SERIES) -7,35624,34649,97,3
63,"                                63
                            ",7,Hindi - SAHAYAK WACHAN-7,35544,27150,76,24
64,"                                64
                            ",7,Hindi - SCIENCE-7 ,35644,33746,94,6
65,"                                65
                            ",7,Hindi - SOCIAL SCIENCE-7,35544,35052,98,2
66,"                                66
                            ",7,Hindi - SURBHI-7,35544,34750,97,3
67,"                                67
                            ",8,Hindi - BHASHA BHARTI (SPECIAL),38563,33188,86,14
68,"                                68
                            ",8,Hindi - GANIT -8,38563,38488,99,1
69,"                                69
                            ",8,Hindi - Language-English READER ( GENERAL SERIES) -8,38643,33716,87,13
70,"                                70
                            ",8,Hindi - SAHAYAK WACHAN-8,38403,33688,87,13
71,"                                71
                            ",8,Hindi - SCIENCE-8,38563,38016,98,2
72,"                                72
                            ",8,Hindi - SOCIAL SCIENCE-8,38563,37892,98,2
73,"                                73
                            ",8,Hindi - SURBHI-8,38643,30442,78,22
74,"                                74
                            ",1,Marathi - Language-English Reader (General Series) -1, , , , 
75,"                                75
                            ",1,Marathi - Language-Marathi-1, ,4320, , 
76,"                                76
                            ",1,Marathi - Maths-1, , , , 
77,"                                77
                            ",2,Marathi - Language-English Reader (General Series) -2, , , , 
78,"                                78
                            ",2,Marathi - Language-Marathi-2, , , , 
79,"                                79
                            ",2,Marathi - Maths-2, , , , 
80,"                                80
                            ",3,Marathi - EVS-3, ,4440, , 
81,"                                81
                            ",3,Marathi - General Hindi-3, ,7360, , 
82,"                                82
                            ",3,Marathi - Language-English Reader (General Series) -3, ,4440, , 
83,"                                83
                            ",3,Marathi - Language-Marathi-3, , , , 
84,"                                84
                            ",3,Marathi - Maths-3, , , , 
85,"                                85
                            ",4,Marathi - EVS-4, , , , 
86,"                                86
                            ",4,Marathi - Language-English Reader (General Series) -4, , , , 
87,"                                87
                            ",4,Marathi - Language-Marathi-4, , , , 
88,"                                88
                            ",4,Marathi - Maths-4, , , , 
89,"                                89
                            ",5,Marathi - EVS-5, , , , 
90,"                                90
                            ",5,Marathi - Hindi General -5, , , , 
91,"                                91
                            ",5,Marathi - Language-English Reader (General Series) -3, , , , 
92,"                                92
                            ",5,Marathi - Language-Marathi-5, , , , 
93,"                                93
                            ",5,Marathi - Maths-5, , , , 
94,"                                94
                            ",6,Marathi - Language-English Reader (General Series) -3, , , , 
95,"                                95
                            ",6,Marathi - Language-Marathi Bhasha Bharti-6, , , , 
96,"                                96
                            ",6,Marathi - Maths-6, , , , 
97,"                                97
                            ",6,Marathi - Sahayak Vachan-6, , , , 
98,"                                98
                            ",6,Marathi - SCIENCE-6 , , , , 
99,"                                99
                            ",6,Marathi - Social Science-6, , , , 
100,"                                100
                            ",7,Marathi - Language-English Reader (General Series) -3, , , , 
101,"                                101
                            ",7,Marathi - Language-Marathi-7, , , , 
102,"                                102
                            ",7,Marathi - Marathi Sahayak Vachan-7, , , , 
103,"                                103
                            ",7,Marathi - Maths-7, , , , 
104,"                                104
                            ",7,Marathi - Science-7, , , , 
105,"                                105
                            ",7,Marathi - Social Science-7, , , , 
106,"                                106
                            ",8,Marathi - General Hindi-8, , , , 
107,"                                107
                            ",8,Marathi - Language-English Reader (General Series) -8, , , , 
108,"                                108
                            ",8,Marathi - Language-Marathi Bhasha Bharti-8, , , , 
109,"                                109
                            ",8,Marathi - Marathi Sahayak Vachan-7, , , , 
110,"                                110
                            ",8,Marathi - Maths-8, , , , 
111,"                                111
                            ",8,Marathi - Science-8, , , , 
112,"                                112
                            ",8,Marathi - Social Science-8, , , , 
113,"                                113
                            ",1,Urdu - Language-English Reader (General Series) -1, , , , 
114,"                                114
                            ",1,Urdu - Maths-1, , , , 
115,"                                115
                            ",1,Urdu - Urdu Bharti-1, , , , 
116,"                                116
                            ",2,Urdu - Language-English Reader (General Series) -2, , , , 
117,"                                117
                            ",2,Urdu - Maths-2, , , , 
118,"                                118
                            ",2,Urdu - Urdu Bharti-2, , , , 
119,"                                119
                            ",3,Urdu - General Hindi-3, , , , 
120,"                                120
                            ",3,Urdu - Language-English Reader (General Series) -3, , , , 
121,"                                121
                            ",3,Urdu - Maths-3, , , , 
122,"                                122
                            ",3,Urdu - Urdu Bharti-3, , , , 
123,"                                123
                            ",3,Urdu - Urdu Environment Science-3, , , , 
124,"                                124
                            ",4,Urdu - Environment Science-4, , , , 
125,"                                125
                            ",4,Urdu - Language-English Reader (General Series) -4,894,843,94,6
126,"                                126
                            ",4,Urdu - Maths-4,1206, , , 
127,"                                127
                            ",4,Urdu - Urdu Bharti-4,1206,611,50,50
128,"                                128
                            ",5,Urdu - Environment Science-5,894, , , 
129,"                                129
                            ",5,Urdu - General Hindi-5,1009,1031,102,-2
130,"                                130
                            ",5,Urdu - Language-English Reader (General Series) -5,1009, , , 
131,"                                131
                            ",5,Urdu - Maths-5,1009,778,77,23
132,"                                132
                            ",5,Urdu - Urdu Bharti-5,1009, , , 
133,"                                133
                            ",6,Urdu - Language-English Reader (General Series) -6,1137,1251,110,-10
134,"                                134
                            ",6,Urdu - Maths-6,986, , , 
135,"                                135
                            ",6,Urdu - Sahayak Wachan-6,1137, , , 
136,"                                136
                            ",6,Urdu - SCIENCE-6 ,986,1128,114,-14
137,"                                137
                            ",6,Urdu - Social Science-6,986, , , 
138,"                                138
                            ",6,Urdu - Urdu Bharti-6,986,1106,112,-12
139,"                                139
                            ",7,Urdu - Language-English Reader (General Series) -7,1255, , , 
140,"                                140
                            ",7,Urdu - Maths-7,1137,974,85,15
141,"                                141
                            ",7,Urdu - Sahayak Wachan-7,1255,84,6,94
142,"                                142
                            ",7,Urdu - Science-7,1137,81,7,93
143,"                                143
                            ",7,Urdu - Social Science-7,1255,880,70,30
144,"                                144
                            ",7,Urdu - Urdu Bharti-6,1137,608,53,47
145,"                                145
                            ",8,Urdu - Language-English Reader (General Series) -8,1036,500,48,52
146,"                                146
                            ",8,Urdu - Maths-8,1255, , , 
147,"                                147
                            ",8,Urdu - Sahayak Wachan-8,1036, , , 
148,"                                148
                            ",8,Urdu - Science-8,1255,854,68,32
149,"                                149
                            ",8,Urdu - Social Science-8,1036,782,75,25
150,"                                150
                            ",8,Urdu - Urdu Bharti-8,1255,1181,94,6
151,"                                151
                            ",8,Urdu - Urdu Bharti-8,1255,986,78,22
